"item","num_strokes","radical","strokes","r_stroke","lexicality","level","CHRCount","logCHR","v1","v1_label"
"两",7,"一","横,竖,横折钩,撇,点,撇,点","横",1,1,39972,4.6018,"",NA
"严",7,"一","横,竖,竖,点,撇,横,撇","横",1,1,6568,3.8174,"",NA
"丧",8,"一","横,竖,点,撇,横,竖提,撇,捺","横",1,1,2034,3.3084,"",NA
"个",3,"人","撇,捺,竖","撇,捺",1,1,452923,5.656,"",NA
"丫",3,"丨","点,撇,竖","竖",1,1,507,2.705,"",NA
"中",4,"丨","竖,横折,横,竖","竖",1,1,69745,4.8435,"",NA
"丰",4,"丨","横,横,横,竖","竖",1,1,1278,3.1065,"",NA
"串",7,"丨","竖,横折,横,竖,横折,横,竖","竖",1,1,699,2.8445,"",NA
"临",9,"丨","竖,竖,撇,横,点,竖,横折,竖,横","竖",1,1,4358,3.6393,"",NA
"丸",3,"丿","撇,横折弯钩/横斜钩,点","撇",1,1,771,2.8871,"",NA
"丹",4,"丿","撇,横折钩,点,横","撇",1,1,4890,3.6893,"",NA
"为",4,"丶","点,撇,横折钩,点","点",1,1,249231,5.3966,"",NA
"主",5,"丶","点,横,横,竖,横","点",1,1,28628,4.4568,"",NA
"丽",7,"一","横,竖,横折钩,点,竖,横折钩,点","横",1,1,11004,4.0416,"",NA
"举",9,"丶","点,点,撇,横,撇,捺,横,横,竖","点",1,1,6853,3.8359,"",NA
"乂",2,"丿","撇,捺","撇",1,1,NA,NA,"",NA
"乃",2,"丿","横折折折钩/横撇弯钩,撇","撇",1,1,566,2.7528,"",NA
"久",3,"丿","撇,横撇/横钩,捺","撇",1,1,15073,4.1782,"",NA
"么",3,"丿","撇,撇折,点","撇",1,1,557804,5.7465,"",NA
"义",3,"丶","点,撇,捺","点",1,1,9488,3.9772,"",NA
"之",3,"丶","点,横撇/横钩,捺","点",1,1,64755,4.8113,"",NA
"乌",4,"丿","撇,横折钩,竖折折钩,横","撇",1,1,2017,3.3047,"",NA
"乍",5,"丿","撇,横,竖,横,横","撇",1,1,80,1.9031,"",NA
"乎",5,"丿","撇,点,撇,横,竖钩","撇",1,1,11683,4.0676,"",NA
"乏",4,"丿","撇,点,横撇/横钩,捺","撇",1,1,888,2.9484,"",NA
"乐",5,"丿","撇,竖折/竖弯,竖钩,撇,点","撇",1,1,26456,4.4225,"",NA
"乒",6,"丿","撇,竖,横,竖,横,撇","撇",1,1,157,2.1959,"",NA
"乓",6,"丿","撇,竖,横,竖,横,点","撇",1,1,197,2.2945,"",NA
"乔",6,"丿","撇,横,撇,捺,撇,竖","撇",1,1,6652,3.823,"",NA
"乖",8,"丿","撇,横,竖,竖,横,提,撇,竖弯钩","撇",1,1,2424,3.3845,"",NA
"乘",10,"丿","撇,横,竖,竖,横,提,撇,竖弯钩,撇,捺","撇",1,1,2310,3.3636,"",NA
"乙",1,"乙","横折弯钩/横斜钩","横折弯钩/横斜钩",1,1,218,2.3385,"",NA
"乜",2,"乙","横折钩,竖弯钩","横折钩",1,1,2,0.301,"",NA
"九",2,"丿","撇,横折弯钩/横斜钩","撇",1,1,2654,3.4239,"",NA
"乞",3,"乙","撇,横,横折弯钩/横斜钩","横折弯钩/横斜钩",1,1,436,2.6395,"",NA
"也",3,"乙","横折钩,竖,竖弯钩","横折钩",1,1,159926,5.2039,"",NA
"习",3,"乙","横折钩,点,提","横折钩",1,1,8048,3.9057,"",NA
"乡",3,"乙","撇折,撇折,撇","撇折",1,1,2509,3.3995,"",NA
"书",4,"乙","横折,横折钩,竖,点","横折钩",1,1,13360,4.1258,"",NA
"乩",6,"乙","竖,横,竖,横折,横,竖弯钩","竖弯钩",1,1,NA,NA,"",NA
"买",6,"乙","横撇/横钩,点,点,横,撇,点","横撇/横钩",1,1,18045,4.2564,"",NA
"乱",7,"乙","撇,横,竖,竖,横折,横,竖弯钩","竖弯钩",1,1,8384,3.9235,"",NA
"乳",8,"乚","撇,点,点,撇,横撇/横钩,竖钩,提,竖弯钩","竖弯钩",1,1,1605,3.2055,"",NA
"乾",11,"乙","横,竖,竖,横折,横,横,横,竖,撇,横,横折弯钩/横斜钩","横折弯钩/横斜钩",1,1,106,2.0253,"",NA
"了",2,"乙","横撇/横钩,竖钩","横撇/横钩",1,1,993990,5.9974,"",NA
"予",4,"乙","横撇/横钩,点,横撇/横钩,竖钩","横撇/横钩",1,1,1630,3.2122,"",NA
"争",6,"刀","撇,横撇/横钩,横折,横,横,竖钩","撇,横撇/横钩",1,1,9959,3.9982,"",NA
"事",8,"乚","横,竖,横折,横,横折,横,横,竖钩","竖钩",1,1,179716,5.2546,"",NA
"二",2,"一","横,横","横",1,1,16814,4.2257,"",NA
"亍",3,"一","横,横,竖钩","横",1,1,NA,NA,"",NA
"于",3,"一","横,横,竖钩","横",1,1,45429,4.6573,"",NA
"亏",3,"一","横,横,竖折折钩","横",1,1,897,2.9528,"",NA
"云",4,"一","横,横,撇折,点","横",1,1,1609,3.2066,"",NA
"互",4,"一","横,撇折,横撇/横钩,横","横",1,1,3335,3.5231,"",NA
"亓",4,"一","横,横,撇,竖","横",1,1,NA,NA,"",NA
"五",4,"一","横,竖,横折,横","横",1,1,12246,4.088,"",NA
"井",4,"一","横,横,撇,竖","横",1,1,1114,3.0469,"",NA
"亘",6,"一","横,竖,横折,横,横,横","横",1,1,31,1.4914,"",NA
"亚",6,"一","横,竖,竖,点,撇,横","横",1,1,15689,4.1956,"",NA
"些",8,"止","竖,横,竖,提,撇,竖弯钩,横,横","竖,横,竖,提",1,1,113122,5.0535,"",NA
"亟",8,"一","横撇/横钩,竖钩,竖,横折,横,横撇/横钩,点,横","横",1,1,22,1.3424,"",NA
"亡",3,"亠","点,横,竖折/竖弯","点,横",1,1,6086,3.7843,"",NA
"亢",4,"亠","点,横,撇,横折弯钩/横斜钩","点,横",1,1,73,1.8633,"",NA
"交",6,"亠","点,横,撇,点,撇,捺","点,横",1,1,19619,4.2927,"",NA
"亥",6,"亠","点,横,撇折,撇,撇,点","点,横",1,1,215,2.3324,"",NA
"亦",6,"亠","点,横,撇,竖钩,撇,点","点,横",1,1,341,2.5328,"",NA
"产",6,"亠","点,横,点,撇,横,撇","点,横",1,1,8264,3.9172,"",NA
"亨",7,"亠","点,横,竖,横折,横,横撇/横钩,竖钩","点,横",1,1,1584,3.1998,"",NA
"亩",7,"亠","点,横,竖,横折,横,竖,横","点,横",1,1,144,2.1584,"",NA
"享",8,"亠","点,横,竖,横折,横,横撇/横钩,竖钩,横","点,横",1,1,5485,3.7392,"",NA
"京",8,"亠","点,横,竖,横折,横,竖钩,撇,点","点,横",1,1,1329,3.1235,"",NA
"亭",9,"亠","点,横,竖,横折,横,点,横撇/横钩,横,竖钩","点,横",1,1,304,2.4829,"",NA
"亮",9,"亠","点,横,竖,横折,横,点,横撇/横钩,撇,横折弯钩/横斜钩","点,横",1,1,14157,4.151,"",NA
"亲",9,"亠","点,横,点,撇,横,横,竖钩,撇,点","点,横",1,1,42501,4.6284,"",NA
"亳",10,"亠","点,横,竖,横折,横,点,横撇/横钩,撇,横,竖弯钩","点,横",1,1,NA,NA,"",NA
"亵",12,"亠","点,横,横,竖钩,提,撇,横折弯钩/横斜钩,点,撇,竖提,撇,捺","点,横",1,1,328,2.5159,"",NA
"亶",13,"亠","点,横,竖,横折,竖,横折,横,横,竖,横折,横,横,横","点,横",1,1,NA,NA,"",NA
"人",2,"人","撇,捺","撇,捺",1,1,373292,5.572,"",NA
"亿",3,"亻","撇,竖,横折弯钩/横斜钩","撇,竖",1,1,1521,3.1821,"",NA
"什",4,"亻","撇,竖,横,竖","撇,竖",1,1,307184,5.4874,"",NA
"仁",4,"亻","撇,竖,横,横","撇,竖",1,1,1306,3.1159,"",NA
"仂",4,"亻","撇,竖,横折钩,撇","撇,竖",1,1,NA,NA,"",NA
"仃",4,"亻","撇,竖,横,竖钩","撇,竖",1,1,13,1.1139,"",NA
"仄",4,"人","横,撇,撇,捺","撇,捺",1,1,3,0.4771,"",NA
"仅",4,"亻","撇,竖,横撇/横钩,捺","撇,竖",1,1,7927,3.8991,"",NA
"仆",4,"亻","撇,竖,竖,点","撇,竖",1,1,814,2.9106,"",NA
"仇",4,"亻","撇,竖,撇,横折弯钩/横斜钩","撇,竖",1,1,2085,3.3191,"",NA
"仉",4,"亻","撇,竖,撇,横折弯钩/横斜钩","撇,竖",1,1,NA,NA,"",NA
"今",4,"人","撇,捺,点,横撇/横钩","撇,捺",1,1,44976,4.653,"",NA
"介",4,"人","撇,捺,撇,竖","撇,捺",1,1,7696,3.8863,"",NA
"仍",4,"亻","撇,竖,横折折折钩/横撇弯钩,撇","撇,竖",1,1,5117,3.709,"",NA
"从",4,"人","撇,点,撇,捺","撇,点",1,1,69789,4.8438,"",NA
"仑",4,"人","撇,捺,撇,竖弯钩","撇,捺",1,1,412,2.6149,"",NA
"仓",4,"人","撇,捺,横折钩,竖弯钩","撇,捺",1,1,1321,3.1209,"",NA
"仔",5,"亻","撇,竖,横撇/横钩,竖钩,横","撇,竖",1,1,3497,3.5437,"",NA
"仕",5,"亻","撇,竖,横,竖,横","撇,竖",1,1,63,1.7993,"",NA
"他",5,"亻","撇,竖,横折钩,竖,竖弯钩","撇,竖",1,1,564477,5.7516,"",NA
"仗",5,"亻","撇,竖,横,撇,捺","撇,竖",1,1,832,2.9201,"",NA
"付",5,"亻","撇,竖,横,竖钩,点","撇,竖",1,1,10729,4.0306,"",NA
"仙",5,"亻","撇,竖,竖,竖折/竖弯,竖","撇,竖",1,1,1174,3.0697,"不规则小家族目标字",4
"仝",5,"人","撇,捺,横,竖,横","撇,捺",1,1,NA,NA,"",NA
"仞",5,"亻","撇,竖,横折钩,撇,点","撇,竖",1,1,2,0.301,"",NA
"仟",5,"亻","撇,竖,撇,横,竖","撇,竖",1,1,7,0.8451,"",NA
"仡",5,"亻","撇,竖,撇,横,横折弯钩/横斜钩","撇,竖",1,1,NA,NA,"",NA
"代",5,"亻","撇,竖,横,斜钩,点","撇,竖",1,1,15142,4.1802,"",NA
"令",5,"人","撇,捺,点,横撇/横钩,点","撇,捺",1,1,12327,4.0909,"",NA
"以",4,"人","竖提,点,撇,点","撇,点",1,1,184508,5.266,"",NA
"仨",5,"亻","撇,竖,横,横,横","撇,竖",1,1,71,1.8513,"",NA
"仪",5,"亻","撇,竖,点,撇,捺","撇,竖",1,1,2427,3.3851,"",NA
"仫",5,"亻","撇,竖,撇,撇折,点","撇,竖",1,1,NA,NA,"",NA
"们",5,"亻","撇,竖,点,竖,横折钩","撇,竖",1,1,701754,5.8462,"",NA
"仰",6,"亻","撇,竖,撇,竖提,横折钩,竖","撇,竖",1,1,1904,3.2797,"",NA
"仲",6,"亻","撇,竖,竖,横折,横,竖","撇,竖",1,1,116,2.0645,"",NA
"仳",6,"亻","撇,竖,横,竖提,撇,竖弯钩","撇,竖",1,1,NA,NA,"",NA
"仵",6,"亻","撇,竖,撇,横,横,竖","撇,竖",1,1,NA,NA,"",NA
"件",6,"亻","撇,竖,撇,横,横,竖","撇,竖",1,1,31611,4.4998,"",NA
"价",6,"亻","撇,竖,撇,捺,撇,竖","撇,竖",1,1,8767,3.9429,"",NA
"任",6,"亻","撇,竖,撇,横,竖,横","撇,竖",1,1,34349,4.5359,"",NA
"份",6,"亻","撇,竖,撇,捺,横折钩,撇","撇,竖",1,1,14754,4.1689,"",NA
"仿",6,"亻","撇,竖,点,横,横折钩,撇","撇,竖",1,1,1499,3.1758,"",NA
"企",6,"人","撇,捺,竖,横,竖,横","撇,捺",1,1,1401,3.1464,"",NA
"伉",6,"亻","撇,竖,点,横,撇,横折弯钩/横斜钩","撇,竖",1,1,3,0.4771,"",NA
"伊",6,"亻","撇,竖,横折,横,横,撇","撇,竖",1,1,10181,4.0078,"",NA
"伍",6,"亻","撇,竖,横,竖,横折,横","撇,竖",1,1,3454,3.5383,"",NA
"伎",6,"亻","撇,竖,横,竖,横撇/横钩,捺","撇,竖",1,1,242,2.3838,"",NA
"伏",6,"亻","撇,竖,横,撇,捺,点","撇,竖",1,1,1434,3.1565,"",NA
"伐",6,"亻","撇,竖,横,斜钩,撇,点","撇,竖",1,1,340,2.5315,"",NA
"休",6,"亻","撇,竖,横,竖,撇,捺","撇,竖",1,1,8504,3.9296,"",NA
"众",6,"人","撇,捺,撇,点,撇,捺","撇,捺",1,1,7370,3.8675,"",NA
"优",6,"亻","撇,竖,横,撇,竖弯钩,点","撇,竖",1,1,4514,3.6546,"",NA
"伙",6,"亻","撇,竖,点,撇,撇,捺","撇,竖",1,1,37637,4.5756,"",NA
"会",6,"人","撇,捺,横,横,撇折,点","撇,捺",1,1,321488,5.5072,"",NA
"伛",6,"亻","撇,竖,横,撇,点,竖折/竖弯","撇,竖",1,1,1,0,"",NA
"伞",6,"人","撇,捺,点,撇,横,竖","撇,捺",1,1,768,2.8854,"",NA
"伟",6,"亻","撇,竖,横,横,横折钩,竖","撇,竖",1,1,2985,3.4749,"规则大家族目标字",1
"传",6,"亻","撇,竖,横,横,竖折撇/竖折折,点","撇,竖",1,1,13084,4.1167,"",NA
"伢",6,"亻","撇,竖,横,撇折,竖钩,撇","撇,竖",1,1,NA,NA,"",NA
"伤",6,"亻","撇,竖,撇,横,横折钩,撇","撇,竖",1,1,22147,4.3453,"",NA
"伥",6,"亻","撇,竖,撇,横,竖提,捺","撇,竖",1,1,2,0.301,"",NA
"伦",6,"亻","撇,竖,撇,捺,撇,竖弯钩","撇,竖",1,1,7904,3.8978,"",NA
"伧",6,"亻","撇,竖,撇,捺,横折钩,竖弯钩","撇,竖",1,1,NA,NA,"",NA
"伪",6,"亻","撇,竖,点,撇,横折钩,点","撇,竖",1,1,1821,3.2603,"",NA
"伫",6,"亻","撇,竖,点,点,横撇/横钩,横","撇,竖",1,1,5,0.699,"",NA
"伯",7,"亻","撇,竖,撇,竖,横折,横,横","撇,竖",1,1,6525,3.8146,"",NA
"估",7,"亻","撇,竖,横,竖,竖,横折,横","撇,竖",1,1,2862,3.4567,"",NA
"伲",7,"亻","撇,竖,横折,横,撇,撇,竖弯钩","撇,竖",1,1,NA,NA,"",NA
"伴",7,"亻","撇,竖,点,撇,横,横,竖","撇,竖",1,1,4854,3.6861,"规则大家族目标字",1
"伶",7,"亻","撇,竖,撇,捺,点,横撇/横钩,点","撇,竖",1,1,169,2.2279,"",NA
"伸",7,"亻","撇,竖,竖,横折,横,横,竖","撇,竖",1,1,1794,3.2538,"规则大家族目标字",1
"伺",7,"亻","撇,竖,横折钩,横,竖,横折,横","撇,竖",1,1,198,2.2967,"",NA
"似",6,"亻","撇,竖,竖提,点,撇,点","撇,竖",1,1,7493,3.8747,"",NA
"伽",7,"亻","撇,竖,横折钩,撇,竖,横折,横","撇,竖",1,1,382,2.5821,"",NA
"伾",7,"亻","撇,竖,横,撇,竖,点,横","撇,竖",1,1,NA,NA,"",NA
"佃",7,"亻","撇,竖,竖,横折,横,竖,横","撇,竖",1,1,16,1.2041,"",NA
"但",7,"亻","撇,竖,竖,横折,横,横,横","撇,竖",1,1,122236,5.0872,"规则大家族目标字",1
"位",7,"亻","撇,竖,点,横,点,撇,横","撇,竖",1,1,31427,4.4973,"",NA
"低",7,"亻","撇,竖,撇,竖提,横,斜钩,点","撇,竖",1,1,5249,3.7201,"",NA
"住",7,"亻","撇,竖,点,横,横,竖,横","撇,竖",1,1,38482,4.5853,"",NA
"佐",7,"亻","撇,竖,横,撇,横,竖,横","撇,竖",1,1,1029,3.0124,"",NA
"佑",7,"亻","撇,竖,横,撇,竖,横折,横","撇,竖",1,1,1433,3.1562,"",NA
"体",7,"亻","撇,竖,横,竖,撇,捺,横","撇,竖",1,1,26590,4.4247,"",NA
"何",7,"亻","撇,竖,横,竖,横折,横,竖钩","撇,竖",1,1,37987,4.5796,"",NA
"佗",7,"亻","撇,竖,点,点,横撇/横钩,撇,竖弯钩","撇,竖",1,1,1,0,"",NA
"佘",7,"人","撇,捺,横,横,竖钩,撇,点","撇,捺",1,1,9,0.9542,"",NA
"余",7,"人","撇,捺,横,横,竖钩,撇,点","撇,捺",1,1,2819,3.4501,"",NA
"佚",7,"亻","撇,竖,撇,横,横,撇,捺","撇,竖",1,1,1,0,"",NA
"佛",7,"亻","撇,竖,横折,横,竖折折钩,撇,竖","撇,竖",1,1,4016,3.6038,"",NA
"作",7,"亻","撇,竖,撇,横,竖,横,横","撇,竖",1,1,68168,4.8336,"",NA
"佝",7,"亻","撇,竖,撇,横折钩,竖,横折,横","撇,竖",1,1,10,1,"",NA
"佞",7,"亻","撇,竖,横,横,撇点,撇,横","撇,竖",1,1,NA,NA,"",NA
"佟",7,"亻","撇,竖,撇,横撇/横钩,捺,点,点","撇,竖",1,1,5,0.699,"",NA
"你",7,"亻","撇,竖,撇,横撇/横钩,竖钩,撇,点","撇,竖",1,1,1444831,6.1598,"",NA
"佣",7,"亻","撇,竖,撇,横折钩,横,横,竖","撇,竖",1,1,1049,3.0208,"",NA
"佤",6,"亻","撇,竖,横,竖提,横折弯钩/横斜钩,点","撇,竖",1,1,NA,NA,"",NA
"佥",7,"人","撇,捺,横,点,点,撇,横","撇,捺",1,1,NA,NA,"",NA
"佩",8,"亻","撇,竖,撇,横折弯钩/横斜钩,横,竖,横折钩,竖","撇,竖",1,1,2476,3.3938,"",NA
"佬",8,"亻","撇,竖,横,竖,横,撇,撇,竖弯钩","撇,竖",1,1,1465,3.1658,"",NA
"佯",8,"亻","撇,竖,点,撇,横,横,横,竖","撇,竖",1,1,40,1.6021,"",NA
"佰",8,"亻","撇,竖,横,撇,竖,横折,横,横","撇,竖",1,1,14,1.1461,"",NA
"佳",8,"亻","撇,竖,横,竖,横,横,竖,横","撇,竖",1,1,2309,3.3634,"",NA
"佴",8,"亻","撇,竖,横,竖,竖,横,横,横","撇,竖",1,1,NA,NA,"",NA
"佶",8,"亻","撇,竖,横,竖,横,竖,横折,横","撇,竖",1,1,NA,NA,"",NA
"佻",8,"亻","撇,竖,撇,点,提,竖弯钩,撇,点","撇,竖",1,1,30,1.4771,"",NA
"佼",8,"亻","撇,竖,点,横,撇,点,撇,捺","撇,竖",1,1,86,1.9345,"",NA
"佽",8,"亻","撇,竖,点,提,撇,横撇/横钩,撇,捺","撇,竖",1,1,NA,NA,"",NA
"佾",8,"亻","撇,竖,撇,捺,竖,横折钩,横,横","撇,竖",1,1,NA,NA,"",NA
"使",8,"亻","撇,竖,横,竖,横折,横,撇,捺","撇,竖",1,1,16913,4.2282,"",NA
"侃",8,"亻","撇,竖,竖,横折,横,撇,竖,竖弯钩","撇,竖",1,1,72,1.8573,"",NA
"侄",8,"亻","撇,竖,横,撇折,点,横,竖,横","撇,竖",1,1,785,2.8949,"",NA
"侈",8,"亻","撇,竖,撇,横撇/横钩,点,撇,横撇/横钩,点","撇,竖",1,1,179,2.2529,"",NA
"侉",8,"亻","撇,竖,横,撇,捺,横,横,竖折折钩","撇,竖",1,1,NA,NA,"",NA
"例",8,"亻","撇,竖,横,撇,横撇/横钩,点,竖,竖钩","撇,竖",1,1,3309,3.5197,"",NA
"侍",8,"亻","撇,竖,横,竖,横,横,竖钩,点","撇,竖",1,1,515,2.7118,"",NA
"侏",8,"亻","撇,竖,撇,横,横,竖,撇,捺","撇,竖",1,1,256,2.4082,"",NA
"侑",8,"亻","撇,竖,横,撇,竖,横折钩,横,横","撇,竖",1,1,NA,NA,"",NA
"侔",8,"亻","撇,竖,撇折,点,撇,横,横,竖","撇,竖",1,1,NA,NA,"",NA
"侗",8,"亻","撇,竖,竖,横折钩,横,竖,横折,横","撇,竖",1,1,NA,NA,"",NA
"供",8,"亻","撇,竖,横,竖,竖,横,撇,点","撇,竖",1,1,5801,3.7635,"规则大家族目标字",1
"依",8,"亻","撇,竖,点,横,撇,竖提,撇,捺","撇,竖",1,1,3656,3.563,"规则小家族目标字",2
"侠",8,"亻","撇,竖,横,点,撇,横,撇,捺","撇,竖",1,1,1188,3.0748,"",NA
"侣",8,"亻","撇,竖,竖,横折,横,竖,横折,横","撇,竖",1,1,886,2.9474,"",NA
"侥",8,"亻","撇,竖,横,斜钩,撇,横,撇,竖弯钩","撇,竖",1,1,126,2.1004,"",NA
"侦",8,"亻","撇,竖,竖,横,竖,横折,撇,点","撇,竖",1,1,2536,3.4041,"",NA
"侧",8,"亻","撇,竖,竖,横折,撇,点,竖,竖钩","撇,竖",1,1,1407,3.1483,"",NA
"侨",8,"亻","撇,竖,撇,横,撇,捺,撇,竖","撇,竖",1,1,15,1.1761,"",NA
"侩",8,"亻","撇,竖,撇,捺,横,横,撇折,点","撇,竖",1,1,17,1.2304,"",NA
"侪",8,"亻","撇,竖,点,横,撇,捺,撇,竖","撇,竖",1,1,1,0,"",NA
"侬",8,"亻","撇,竖,点,横撇/横钩,撇,竖提,撇,捺","撇,竖",1,1,132,2.1206,"",NA
"侮",9,"亻","撇,竖,撇,横,竖折/竖弯,横折钩,点,横,点","撇,竖",1,1,752,2.8762,"",NA
"侯",9,"亻","撇,竖,横折,横,撇,横,横,撇,捺","撇,竖",1,1,217,2.3365,"",NA
"侵",9,"亻","撇,竖,横折,横,横,点,横撇/横钩,横撇/横钩,捺","撇,竖",1,1,2205,3.3434,"",NA
"便",9,"亻","撇,竖,横,竖,横折,横,横,撇,捺","撇,竖",1,1,13982,4.1456,"",NA
"促",9,"亻","撇,竖,竖,横折,横,竖,横,撇,捺","撇,竖",1,1,670,2.8261,"",NA
"俄",9,"亻","撇,竖,撇,横,竖钩,提,斜钩,撇,点","撇,竖",1,1,3021,3.4802,"",NA
"俅",9,"亻","撇,竖,横,竖钩,点,提,撇,捺,点","撇,竖",1,1,NA,NA,"",NA
"俊",9,"亻","撇,竖,撇折,点,撇,点,撇,横撇/横钩,捺","撇,竖",1,1,927,2.9671,"",NA
"俎",9,"人","撇,点,撇,点,竖,横折,横,横,横","撇,点",1,1,21,1.3222,"",NA
"俏",9,"亻","撇,竖,竖,点,撇,竖,横折钩,横,横","撇,竖",1,1,188,2.2742,"",NA
"俐",9,"亻","撇,竖,撇,横,竖,撇,点,竖,竖钩","撇,竖",1,1,57,1.7559,"",NA
"俑",9,"亻","撇,竖,横撇/横钩,点,竖,横折钩,横,横,竖","撇,竖",1,1,58,1.7634,"",NA
"俗",9,"亻","撇,竖,撇,点,撇,捺,竖,横折,横","撇,竖",1,1,1194,3.077,"",NA
"俘",9,"亻","撇,竖,撇,点,点,撇,横撇/横钩,竖钩,横","撇,竖",1,1,465,2.6675,"",NA
"俚",9,"亻","撇,竖,竖,横折,横,横,竖,横,横","撇,竖",1,1,71,1.8513,"",NA
"俜",9,"亻","撇,竖,竖,横折,横,竖,横,横,竖折折钩","撇,竖",1,1,NA,NA,"",NA
"保",9,"亻","撇,竖,竖,横折,横,横,竖,撇,捺","撇,竖",1,1,39731,4.5991,"",NA
"俞",9,"人","撇,捺,横,竖,横折钩,横,横,竖,竖钩","撇,捺",1,1,48,1.6812,"",NA
"俟",9,"亻","撇,竖,撇折,点,撇,横,横,撇,捺","撇,竖",1,1,NA,NA,"",NA
"信",9,"亻","撇,竖,点,横,横,横,竖,横折,横","撇,竖",1,1,57928,4.7629,"",NA
"俣",9,"亻","撇,竖,竖,横折,横,横,横,撇,捺","撇,竖",1,1,1,0,"",NA
"俦",9,"亻","撇,竖,横,横,横,撇,横,竖钩,点","撇,竖",1,1,NA,NA,"",NA
"俨",9,"亻","撇,竖,横,竖,竖,点,撇,横,撇","撇,竖",1,1,8,0.9031,"",NA
"俩",9,"亻","撇,竖,横,竖,横折钩,撇,点,撇,点","撇,竖",1,1,9242,3.9658,"",NA
"俪",9,"亻","撇,竖,横,竖,横折钩,点,竖,横折钩,点","撇,竖",1,1,4,0.6021,"",NA
"俭",9,"亻","撇,竖,撇,捺,横,点,点,撇,横","撇,竖",1,1,43,1.6335,"",NA
"修",9,"亻","撇,竖,竖,撇,横撇/横钩,捺,撇,撇,撇","撇,竖",1,1,7799,3.892,"",NA
"俯",10,"亻","撇,竖,点,横,撇,撇,竖,横,竖钩,点","撇,竖",1,1,304,2.4829,"",NA
"俱",10,"亻","撇,竖,竖,横折,横,横,横,横,撇,点","撇,竖",1,1,2656,3.4242,"",NA
"俳",10,"亻","撇,竖,竖,横,横,横,竖,横,横,横","撇,竖",1,1,62,1.7924,"",NA
"俸",10,"亻","撇,竖,横,横,横,撇,捺,横,横,竖","撇,竖",1,1,9,0.9542,"",NA
"俺",10,"亻","撇,竖,横,撇,捺,竖,横折,横,横,竖弯钩","撇,竖",1,1,125,2.0969,"",NA
"俾",10,"亻","撇,竖,撇,竖,横折,横,横,撇,横,竖","撇,竖",1,1,13,1.1139,"",NA
"倌",10,"亻","撇,竖,点,点,横撇/横钩,竖,横折,横,横折,横","撇,竖",1,1,12,1.0792,"",NA
"倍",10,"亻","撇,竖,点,横,点,撇,横,竖,横折,横","撇,竖",1,1,1900,3.2788,"",NA
"倏",10,"亻","撇,竖,竖,撇,横撇/横钩,捺,横,撇,点,点","撇,竖",1,1,4,0.6021,"",NA
"倒",10,"亻","撇,竖,横,撇折,点,横,竖,提,竖,竖钩","撇,竖",1,1,11875,4.0746,"",NA
"倔",10,"亻","撇,竖,横折,横,撇,竖折/竖弯,竖,竖,竖折/竖弯,竖","撇,竖",1,1,79,1.8976,"",NA
"倘",10,"亻","撇,竖,竖,点,撇,竖,横折钩,竖,横折,横","撇,竖",1,1,42,1.6232,"",NA
"候",10,"亻","撇,竖,竖,横折,横,撇,横,横,撇,捺","撇,竖",1,1,58337,4.7659,"",NA
