,stimulusLabel,level,res_freq_wp,res_freq_np,rad_freq_wp,rad_freq_np
188,外猾,1,3,5,2,11
189,散鹘,1,1,5,29,30
190,曼蓇,1,1,5,3,10
191,轵馉,1,3,5,53,54
192,坜陌,1,3,3,161,161
193,陞谶,1,2,2,66,161
194,蜘孅,1,2,2,139,173
195,霁箔,1,1,1,32,32
196,窨范,1,1,1,34,34
197,𬨂榫,1,1,1,53,54
198,尬飕,1,1,1,5,8
199,骦耰,1,1,1,65,66
200,躐缫,1,1,1,98,98
201,罶巍,1,1,1,18,18
202,谶磔,1,1,1,157,157
203,蜘隆,1,1,1,139,173
204,熹曹,1,1,1,22,23
205,寝蔀,1,1,1,60,60
206,翟茽,1,1,1,7,8
207,仇嵊,1,1,1,255,255
208,咎焘,1,1,10,21,364
209,雉视,1,1,1,10,20
210,莿寄,1,2,21,403,405
211,蹙桑,1,1,1,5,6
212,蛰盈,1,1,1,17,173
213,崶薹,1,1,1,39,129
214,敏以,1,1,1,29,30
215,刺鄹,1,1,1,56,58
216,斩靖,1,3,3,5,9
217,料雉,1,1,4,5,8
218,惠奚,1,1,1,69,74
219,畜甯,1,1,1,7,33
220,铀馉,1,3,5,267,267
221,欢料,1,2,3,18,19
222,枰倔,1,3,5,296,306
223,铙佛,1,6,10,267,267
224,锨冯,1,9,11,267,267
225,锳决,1,12,12,267,267
226,鿏啸,1,2,5,267,267
227,钡圮,1,9,13,267,267
228,𬭸墀,1,2,2,267,267
229,𨱑律,1,4,5,267,267
230,铕捃,1,4,9,267,267
231,镓撰,1,3,3,267,267
232,锛擢,1,4,6,267,267
233,𬭤浔,1,5,7,267,267
234,𬭎潺,1,2,2,267,267
235,锛烬,1,3,4,267,267
236,锄熠,1,4,4,267,267
237,𦈡伲,1,8,8,164,164
238,缴健,1,7,8,164,164
239,𬙊僻,1,3,19,164,164
240,琟佛,1,6,10,163,163
241,瑭僻,1,3,19,163,163
242,璘喔,1,6,6,163,163
243,珂搦,1,2,3,163,163
244,埠喔,1,6,6,161,161
245,坛妞,1,8,9,161,161
246,训伲,1,8,8,157,157
247,谦僻,1,3,19,157,157
248,认冯,1,9,11,157,157
249,询吧,1,12,19,157,157
250,诤埭,1,2,3,157,157
251,惜倨,1,9,10,150,150
252,惨僻,1,3,19,150,150
253,惭埭,1,2,3,150,150
254,悢媚,1,6,8,150,150
255,媛僻,1,3,19,144,168
256,碲倨,1,9,10,121,132
257,矼妞,1,8,9,121,132
258,硚岷,1,5,6,121,132
259,砖捃,1,4,9,121,132
260,爚僻,1,3,19,110,115
261,焗冯,1,9,11,110,115
262,鲹僻,1,3,19,106,106
263,胯僻,1,3,19,142,149
264,䏲埭,1,2,3,142,149
265,脂妞,1,8,9,142,149
266,膳岷,1,5,6,142,149
267,脟捃,1,4,9,142,149
268,膀擢,1,4,6,142,149
269,䏝浔,1,5,7,142,149
270,肝熠,1,4,4,142,149
271,胆躬,1,1,4,142,149
272,臑鳚,1,1,6,142,149
273,胪仍,1,3,10,142,149
274,胂椭,1,1,2,142,149
275,胺漋,1,1,3,142,149
276,膀仗,1,2,4,142,149
277,脏伍,1,1,2,142,149
278,腧伐,1,2,3,142,149
279,脿休,1,3,8,142,149
280,䏡伛,1,16,22,142,149
281,臊伟,1,10,14,142,149
282,胺伢,1,7,13,142,149
283,膀佑,1,2,3,142,149
284,胯体,1,3,5,142,149
285,膦佬,1,4,5,142,149
286,脯佰,1,3,3,142,149
287,邶鸮,1,1,2,94,161
288,邛次,1,1,3,94,161
289,邹刖,1,2,7,94,161
290,𨙸削,1,1,23,94,161
291,郑副,1,1,9,94,161
292,邛卟,1,2,13,94,161
293,郚戳,1,1,6,94,161
294,犹决,1,12,12,77,77
295,狺吧,1,12,19,77,77
296,狃圮,1,9,13,77,77
297,屾妞,1,8,9,78,129
298,崞浔,1,5,7,78,129
299,峋仪,1,4,4,78,129
300,峡仿,1,16,21,78,129
301,岈伪,1,4,5,78,129
302,褶吧,1,12,19,63,63
303,衲圮,1,9,13,63,63
304,曜决,1,12,12,70,127
305,晡吧,1,12,19,70,127
306,晖哏,1,15,19,70,127
307,昡圮,1,9,13,70,127
308,曈埭,1,2,3,70,127
